Reflection_Index,Total_Invariant,Reflection_Time,vector_sum,mass_gap,adjacency,dot_sum
0,False,0.00010395050048828125,False,False,True,False
1,False,6.127357482910156e-05,False,False,True,False
2,False,5.1021575927734375e-05,False,True,True,False
3,False,4.982948303222656e-05,False,True,True,False
4,False,4.887580871582031e-05,False,True,True,False
5,False,4.8160552978515625e-05,False,True,True,False
6,False,7.700920104980469e-05,False,True,True,False
7,False,7.295608520507812e-05,False,True,True,False
8,False,5.507469177246094e-05,False,True,True,False
9,False,5.2928924560546875e-05,False,True,True,False
10,False,4.887580871582031e-05,False,True,True,False
11,False,5.078315734863281e-05,False,True,True,False
12,False,5.0067901611328125e-05,False,False,True,True
13,False,5.0067901611328125e-05,False,False,True,True
14,False,4.792213439941406e-05,False,True,True,False
15,False,4.696846008300781e-05,False,True,True,False
16,False,4.696846008300781e-05,False,True,True,False
17,False,4.601478576660156e-05,False,True,True,False
18,False,4.6253204345703125e-05,False,True,True,False
19,False,4.57763671875e-05,False,True,True,False
20,False,4.601478576660156e-05,False,True,True,False
21,False,4.506111145019531e-05,False,True,True,False
22,False,4.57763671875e-05,False,True,True,False
23,False,4.601478576660156e-05,False,True,True,False
24,False,4.6253204345703125e-05,False,True,True,False
25,False,4.57763671875e-05,False,True,True,False
26,False,4.601478576660156e-05,False,True,True,False
27,False,4.9114227294921875e-05,False,True,True,False
28,False,4.57763671875e-05,False,True,True,False
29,False,4.6253204345703125e-05,False,True,True,False
30,False,4.506111145019531e-05,False,False,True,True
31,False,8.487701416015625e-05,False,False,True,True
32,False,4.792213439941406e-05,False,False,True,True
33,False,4.7206878662109375e-05,False,False,True,True
34,False,4.673004150390625e-05,False,False,True,True
35,False,4.6253204345703125e-05,False,False,True,True
36,False,4.601478576660156e-05,False,False,True,True
37,False,4.482269287109375e-05,False,False,True,True
38,False,4.601478576660156e-05,False,False,True,True
39,False,4.506111145019531e-05,False,False,True,True
40,False,4.482269287109375e-05,False,False,True,True
41,False,4.506111145019531e-05,False,False,True,True
42,False,4.6253204345703125e-05,False,False,True,True
43,False,4.57763671875e-05,False,False,True,True
44,False,4.6253204345703125e-05,False,False,True,True
45,False,4.696846008300781e-05,False,False,True,True
46,False,4.57763671875e-05,False,False,True,True
47,False,5.030632019042969e-05,False,False,True,True
48,False,4.57763671875e-05,False,False,True,True
49,False,4.601478576660156e-05,False,False,True,True
50,False,4.6253204345703125e-05,False,False,True,True
51,False,4.57763671875e-05,False,False,True,True
52,False,4.601478576660156e-05,False,False,True,True
53,False,4.601478576660156e-05,False,False,True,True
54,False,4.601478576660156e-05,False,False,True,True
55,False,4.601478576660156e-05,False,False,True,True
56,False,4.601478576660156e-05,False,False,True,True
57,False,4.792213439941406e-05,False,False,True,True
58,False,4.7206878662109375e-05,False,False,True,True
59,False,4.482269287109375e-05,False,False,True,True
60,False,4.506111145019531e-05,False,False,True,True
61,False,4.601478576660156e-05,False,False,True,True
62,True,4.506111145019531e-05,True,True,True,True
63,True,4.458427429199219e-05,True,True,True,True
64,True,4.6253204345703125e-05,True,True,True,True
65,True,4.601478576660156e-05,True,True,True,True
66,True,4.57763671875e-05,True,True,True,True
67,True,4.506111145019531e-05,True,True,True,True
68,True,4.506111145019531e-05,True,True,True,True
69,True,4.6253204345703125e-05,True,True,True,True
70,True,4.482269287109375e-05,True,True,True,True
71,True,4.601478576660156e-05,True,True,True,True
72,True,4.601478576660156e-05,True,True,True,True
73,True,4.482269287109375e-05,True,True,True,True
74,True,4.8160552978515625e-05,True,True,True,True
75,True,4.7206878662109375e-05,True,True,True,True
76,True,4.57763671875e-05,True,True,True,True
77,True,4.7206878662109375e-05,True,True,True,True
78,False,4.57763671875e-05,False,True,True,False
79,False,4.601478576660156e-05,False,False,True,True
80,False,4.601478576660156e-05,False,False,True,True
81,False,4.6253204345703125e-05,False,False,True,True
82,False,4.57763671875e-05,False,False,True,True
83,False,4.601478576660156e-05,False,False,True,True
84,False,4.506111145019531e-05,False,False,True,True
85,False,4.57763671875e-05,False,False,True,True
86,False,4.601478576660156e-05,False,False,True,True
87,False,4.601478576660156e-05,False,False,True,True
88,False,4.57763671875e-05,False,False,True,True
89,False,5.91278076171875e-05,True,True,True,False
90,False,4.6253204345703125e-05,False,False,True,True
91,False,4.57763671875e-05,False,False,True,True
92,False,4.506111145019531e-05,False,False,True,True
93,False,4.506111145019531e-05,False,False,True,True
94,False,4.482269287109375e-05,False,False,True,True
95,False,4.506111145019531e-05,False,False,True,True
96,False,4.7206878662109375e-05,False,False,True,True
97,False,4.57763671875e-05,False,False,True,True
98,False,4.601478576660156e-05,False,False,True,True
99,False,4.601478576660156e-05,False,False,True,True
100,True,4.57763671875e-05,True,True,True,True
101,True,4.601478576660156e-05,True,True,True,True
102,True,4.506111145019531e-05,True,True,True,True
103,True,4.506111145019531e-05,True,True,True,True
104,True,4.57763671875e-05,True,True,True,True
105,True,4.601478576660156e-05,True,True,True,True
106,True,4.506111145019531e-05,True,True,True,True
107,True,4.482269287109375e-05,True,True,True,True
108,True,4.506111145019531e-05,True,True,True,True
109,True,4.506111145019531e-05,True,True,True,True
110,True,4.696846008300781e-05,True,True,True,True
111,True,4.601478576660156e-05,True,True,True,True
112,True,4.506111145019531e-05,True,True,True,True
113,True,4.601478576660156e-05,True,True,True,True
114,True,4.506111145019531e-05,True,True,True,True
115,True,4.601478576660156e-05,True,True,True,True
116,True,4.601478576660156e-05,True,True,True,True
117,True,4.57763671875e-05,True,True,True,True
118,True,4.6253204345703125e-05,True,True,True,True
119,True,4.601478576660156e-05,True,True,True,True
120,True,4.57763671875e-05,True,True,True,True
121,True,4.601478576660156e-05,True,True,True,True
122,True,4.6253204345703125e-05,True,True,True,True
123,True,4.506111145019531e-05,True,True,True,True
124,True,4.506111145019531e-05,True,True,True,True
125,True,4.506111145019531e-05,True,True,True,True
126,True,4.7206878662109375e-05,True,True,True,True
127,True,4.57763671875e-05,True,True,True,True
128,True,4.506111145019531e-05,True,True,True,True
129,True,0.0004248619079589844,True,True,True,True
130,True,0.00024080276489257812,True,True,True,True
131,True,0.00010800361633300781,True,True,True,True
132,True,4.982948303222656e-05,True,True,True,True
133,True,4.7206878662109375e-05,True,True,True,True
134,True,4.6253204345703125e-05,True,True,True,True
135,True,4.57763671875e-05,True,True,True,True
136,True,4.601478576660156e-05,True,True,True,True
137,True,4.887580871582031e-05,True,True,True,True
138,True,4.601478576660156e-05,True,True,True,True
139,True,4.7206878662109375e-05,True,True,True,True
